Domain,Full Name,Title,LinkedIn Profile
https://x.ai,Christian Szegedy,Co-Founder,http://www.linkedin.com/in/christian-szegedy-bb284816
https://x.ai,Yuhuai Wu,Co-Founder,http://www.linkedin.com/in/yuhuai-tony-wu-02a641b5
https://x.ai,Omuer Binguel,CEO,http://www.linkedin.com/in/%c3%b6m%c3%bcr-bing%c3%bcl-5b1618305
https://helloalice.com,Carolyn Rodz,Co-Founder & CEO,http://www.linkedin.com/in/carolynrodz
https://helloalice.com,Elizabeth Gore,President & Co Founder,http://www.linkedin.com/in/elizabethmgore
https://helloalice.com,Jillian Benvenuti,Chief of Staff,http://www.linkedin.com/in/jillbenvenuti
https://helloalice.com,Kelsey Ruger,CTO,http://www.linkedin.com/in/kelseyruger
https://helloalice.com,John Zeren,VP of Engineering,http://www.linkedin.com/in/john-zeren-7591ba53
https://www.binarly.io/,,,
https://www.together.ai,Ce Zhang,"Co-Founder, CTO",http://www.linkedin.com/in/ce-zhang-6aa37419
https://www.together.ai,Vipul Prakash,Co-Founder & CEO,http://www.linkedin.com/in/vipulved
https://www.together.ai,Albert Meixner,Senior Vice President of Engineering,http://www.linkedin.com/in/albert-meixner-74679a1b
https://www.together.ai,Charles Srisuwananukorn,VP of Engineering,http://www.linkedin.com/in/csris
https://www.together.ai,Robinson Ospina,Talent Specialist,http://www.linkedin.com/in/robinson-ospina
https://legion.co,Francine Pacheco,Talent Partner,http://www.linkedin.com/in/francine-pacheco-226177323
https://legion.co,Lisa Choi,Head Of Global Talent Management,http://www.linkedin.com/in/lisakchoi
https://legion.co,Sanish Mondkar,Founder & CEO,http://www.linkedin.com/in/sanish
https://legion.co,Tiffany Chelsvig,"SVP, People Operations",http://www.linkedin.com/in/tiffanychelsvig
https://legion.co,Harsha Dantu,Engineering Director,http://www.linkedin.com/in/sriharshadv
https://legion.co,Tanvi Shah,Director of Engineering,http://www.linkedin.com/in/tanvis
https://www.warpstream.com,,,
https://www.aerodome.com,,,
https://www.ioncleanenergy.com/,Buz Brown,Founder & Executive Chairman,http://www.linkedin.com/in/buz-brown-aba41812
https://www.ioncleanenergy.com/,Ben Gurtler,COO,http://www.linkedin.com/in/ben-gurtler-6a350425
https://www.ioncleanenergy.com/,Erik Meuleman,CTO,http://www.linkedin.com/in/erik-meuleman-84b5088
https://www.ioncleanenergy.com/,Andrew Awtry,Senior Vice President of Engineering,http://www.linkedin.com/in/andrew-awtry-40b7b499
http://www.nironmagnetics.com,John Larson,Chief Operating Officer,http://www.linkedin.com/in/johnmlarson
http://www.nironmagnetics.com,Jonathan Rowntree,Chief Executive Officer,http://www.linkedin.com/in/jonathan-rowntree-72b5019
http://www.nironmagnetics.com,David Northall,Vice President Of Global Operations,http://www.linkedin.com/in/david-northall-3458046
